Path	URL	Permissions
PENJUALAN / Analisa Laporan / Kepuasan Pelanggan	laporan/analisa-laporan/kepuasan-pelanggan	view,create,update,delete
PENJUALAN / Produk		view,create,update,delete
PENJUALAN / Produk / Daftar Departemen	item/department	view,create,update,delete
PENJUALAN / Produk / Daftar Kategori	item/category	view,create,update,delete
PENJUALAN / Produk / Daftar Produk	item	view,create,update,delete
PENJUALAN / Produk / Produk Layanan	item/service	view,create,update,delete
PENJUALAN / Produk / Produk Ekstra	item/addon	view,create,update,delete
PENJUALAN / Produk / Produk Paket	item/bundles	view,create,update,delete
PENJUALAN / Produk / Deposit	item/deposit	view,create,update,delete
PENJUALAN / Produk / Penjadwalan Perubahan Resep	item/scheduler-recipe-changes	view,create,update,delete
PENJUALAN / Produk / Daftar Harga Ojek Online	item/ojek-online-price	view,create,update,delete
PENJUALAN / Produk / Penjadwalan Harga	item/scheduler-price	view,create,update,delete
PENJUALAN / Produk / Harga Berdasarkan Waktu	item/time-based-pricing	view,create,update,delete
PENJUALAN / Produk / Cetak Barcode	item/price-tag-print	view,create,update,delete
PENJUALAN / Produk / Daftar Kategori Catatan	item/notes-category	view,create,update,delete
PENJUALAN / Produk / Master Resep	item/recipe	view,create,update,delete
PENJUALAN / Inventori		view,create,update,delete
PENJUALAN / Inventori / Daftar Bahan Baku	inventory/bahan-baku	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok		view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Permintaan Barang	inventory/pembelian-stok/product-request	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Pemesanan Stok	inventory/pembelian-stok/purchase-order	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Pengiriman Pembelian	inventory/pembelian-stok/purchase-shipment	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Faktur Pembelian	inventory/kelola-stok/stok-masuk	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Pembayaran Faktur	pengeluaran/daftar-pembayaran-pembelian	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Retur		view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Retur / Retur Pembelian	inventory/retur/retur-pembelian	view,create,update,delete
PENJUALAN / Inventori / Pembelian Stok / Retur / Rekonsiliasi Retur	inventory/retur/rekonsiliasi-retur	view,create,update,delete
PENJUALAN / Inventori / Kelola Stok		view,create,update,delete
PENJUALAN / Inventori / Kelola Stok / Daftar Stok	inventory/kelola-stok/daftar-stok	view,create,update,delete
PENJUALAN / Inventori / Kelola Stok / Stok Opname	inventory/kelola-stok/stock-opname	view,create,update,delete
PENJUALAN / Inventori / Kelola Stok / Stok Terbuang	inventory/kelola-stok/stock-terbuang	view,create,update,delete
PENJUALAN / Inventori / Produksi Stok		view,create,update,delete
PENJUALAN / Inventori / Produksi Stok / Daftar Produksi Stok	inventory/kelola-stok/stok-produksi/daftar-stok-produksi	view,create,update,delete
PENJUALAN / Inventori / Produksi Stok / Acuan Produksi Stok	inventory/kelola-stok/stok-produksi/template-stok-produksi	view,create,update,delete
PENJUALAN / Inventori / Mutasi Antar Outlet		view,create,update,delete
PENJUALAN / Inventori / Mutasi Antar Outlet / Permintaan Stok	inventory/mutasi-stok/permintaan-stok	view,create,update,delete
PENJUALAN / Inventori / Mutasi Antar Outlet / Stok Harus Dikirim	inventory/mutasi-stok/stok-harus-dikirim	view,create,update,delete
PENJUALAN / Inventori / Mutasi Antar Outlet / Kirim Stok	inventory/mutasi-stok/kirim-transfer-stok	view,create,update,delete
PENJUALAN / Inventori / Mutasi Antar Outlet / Terima Mutasi Stok	inventory/mutasi-stok/terima-mutasi-stok	view,create
PENJUALAN / Inventori / Mutasi Antar Outlet / Stok Transit	inventory/mutasi-stok/terima-transfer-stok	view,create,update,delete
PENJUALAN / Inventori / Daftar Pemasok	inventory/pembelian-stok/supplier	view,create,update,delete
PENJUALAN / Pelanggan		view,create,update,delete
PENJUALAN / Pelanggan / Daftar Pelanggan	pelanggan/daftar-pelanggan	view,create,update,delete
PENJUALAN / Pelanggan / Grup Pelanggan	pelanggan/grup-pelanggan	view,create,update,delete
PENJUALAN / Pelanggan / Grup Harga Spesial	pelanggan/special-price-group	view,create,update,delete
PENJUALAN / Pelanggan / Kustom Data Pelanggan	pelanggan/kustom-data	view,create,update,delete
PENJUALAN / Pelanggan / Pengaturan Data Pelanggan	pelanggan/pengaturan-data-pelanggan	view,create,update,delete
PENJUALAN / Promosi		view,create,update,delete
PENJUALAN / Promosi / Promo		view,create,update,delete
PENJUALAN / Promosi / Promo / Basic Promo	promosi/promo/basic	view,create,update,delete
PENJUALAN / Promosi / Promo / Per Total Pembelian	promosi/promo/invoice	view,create,update,delete
PENJUALAN / Promosi / Promo / Per Produk	promosi/promo/product	view,create,update,delete
PENJUALAN / Promosi / Kupon		view,create,update,delete
